               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  89,            0.014033,           0.0043742,          0.00055921,             0.99314,             0.99184,             0.99172,             0.81076,            0.016626,           0.0036463,           0.0014057,            0.004555,            0.004555,            0.004555
                  90,            0.013744,           0.0043556,          0.00047065,             0.99269,             0.98536,                0.99,             0.80413,            0.016989,           0.0037074,           0.0016789,           0.0044931,           0.0044931,           0.0044931
                  91,            0.013692,           0.0043623,          0.00051649,             0.98981,             0.98891,             0.99058,             0.80795,            0.016885,           0.0037389,           0.0016973,           0.0044313,           0.0044313,           0.0044313
                  92,            0.013704,           0.0043582,           0.0004263,             0.99137,             0.98891,             0.99239,             0.80883,            0.016678,           0.0036958,           0.0016327,           0.0043694,           0.0043694,           0.0043694
                  93,            0.013491,           0.0043101,          0.00038345,             0.99144,             0.98652,             0.99232,             0.80701,            0.016741,           0.0037042,           0.0015703,           0.0043075,           0.0043075,           0.0043075
                  94,            0.013468,           0.0041971,          0.00043557,             0.98929,             0.98687,              0.9901,             0.80401,            0.017072,           0.0037244,            0.001664,           0.0042456,           0.0042456,           0.0042456
                  95,            0.013393,           0.0042803,           0.0004092,             0.99014,             0.99045,             0.99228,             0.80466,            0.016892,           0.0037617,           0.0015302,           0.0041837,           0.0041837,           0.0041837
                  96,            0.013201,           0.0041395,          0.00033236,             0.99101,             0.98891,             0.99195,             0.81069,            0.016538,           0.0036822,           0.0016389,           0.0041219,           0.0041219,           0.0041219
                  97,            0.013068,           0.0042554,          0.00038576,             0.98939,             0.98945,             0.99237,             0.81002,            0.016702,           0.0037222,           0.0017348,             0.00406,             0.00406,             0.00406
                  98,            0.013184,           0.0041316,          0.00031646,             0.99256,             0.98808,             0.99277,             0.81414,            0.016596,            0.003687,           0.0014905,           0.0039981,           0.0039981,           0.0039981
                  99,            0.013212,           0.0042115,          0.00038294,             0.99218,             0.98934,              0.9921,             0.80989,            0.016639,           0.0037383,           0.0016143,           0.0039362,           0.0039362,           0.0039362
                 100,            0.012943,             0.00408,          0.00035783,             0.98881,             0.99061,             0.99172,              0.8073,            0.016685,           0.0037181,            0.001531,           0.0038744,           0.0038744,           0.0038744
                 101,            0.013118,           0.0041558,          0.00033043,             0.99386,             0.98614,             0.99203,             0.80652,             0.01683,           0.0037164,           0.0015433,           0.0038125,           0.0038125,           0.0038125
