               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.015496,            0.004588,          0.00073334,             0.98963,             0.99151,             0.99145,             0.81152,            0.016917,           0.0036703,           0.0015243,           0.0063494,           0.0063494,           0.0063494
                  61,            0.015672,           0.0046625,          0.00064568,             0.98844,             0.98785,             0.99188,             0.80671,            0.016836,           0.0036344,           0.0017762,           0.0062875,           0.0062875,           0.0062875
                  62,            0.015633,           0.0044855,          0.00060219,             0.99111,             0.98687,             0.98901,             0.80703,            0.016709,           0.0036395,           0.0016749,           0.0062256,           0.0062256,           0.0062256
                  63,            0.015186,           0.0045237,          0.00061894,             0.99154,             0.98383,             0.98721,             0.80386,             0.01677,            0.003641,           0.0018539,           0.0061637,           0.0061637,           0.0061637
                  64,            0.015492,           0.0044883,          0.00051726,             0.99057,             0.98616,             0.99086,             0.80243,            0.017101,           0.0036937,           0.0016598,           0.0061019,           0.0061019,           0.0061019
                  65,            0.015297,            0.004491,           0.0007104,             0.98993,             0.98482,             0.98981,             0.79399,            0.017237,           0.0036522,           0.0015897,             0.00604,             0.00604,             0.00604
                  66,            0.015169,           0.0045122,          0.00052435,             0.99021,             0.98884,             0.99043,             0.80353,            0.017088,           0.0036486,           0.0015835,           0.0059781,           0.0059781,           0.0059781
                  67,             0.01503,           0.0044076,          0.00062218,             0.98992,             0.98779,             0.98948,             0.80321,            0.017047,           0.0036565,           0.0015826,           0.0059163,           0.0059163,           0.0059163
                  68,            0.015122,           0.0045168,          0.00071022,             0.98941,             0.98983,             0.99269,             0.80537,             0.01703,           0.0036391,           0.0016927,           0.0058544,           0.0058544,           0.0058544
                  69,            0.014778,           0.0045139,          0.00054076,             0.98935,             0.98756,             0.99034,             0.80977,            0.016661,           0.0035896,           0.0016269,           0.0057925,           0.0057925,           0.0057925
                  70,            0.014901,           0.0044458,          0.00062189,             0.99008,             0.98983,             0.99028,             0.81057,            0.016642,            0.003629,           0.0015949,           0.0057306,           0.0057306,           0.0057306
                  71,            0.014814,           0.0043973,          0.00060052,             0.98975,             0.98843,             0.99004,             0.80258,            0.016769,           0.0036887,           0.0015004,           0.0056688,           0.0056688,           0.0056688
                  72,             0.01449,           0.0043542,          0.00047529,             0.98925,             0.98744,             0.99222,             0.80795,             0.01672,           0.0036691,           0.0016036,           0.0056069,           0.0056069,           0.0056069
                  73,            0.014599,           0.0043484,          0.00050315,             0.98932,              0.9895,             0.99223,             0.80902,             0.01666,           0.0036284,           0.0016823,            0.005545,            0.005545,            0.005545
                  74,            0.014302,           0.0044323,          0.00059348,             0.99219,               0.989,             0.99114,             0.80956,            0.016527,           0.0036577,           0.0015032,           0.0054831,           0.0054831,           0.0054831
                  75,             0.01434,           0.0043278,          0.00048034,             0.99028,             0.98645,             0.99167,             0.80881,            0.016677,           0.0036501,           0.0014506,           0.0054212,           0.0054212,           0.0054212
                  76,            0.014332,           0.0043015,           0.0004629,             0.99068,             0.98814,             0.99159,             0.81123,            0.016555,           0.0036248,           0.0016098,           0.0053594,           0.0053594,           0.0053594
                  77,            0.014126,           0.0042287,          0.00059664,              0.9907,             0.98762,             0.99057,             0.81137,            0.016608,           0.0036272,           0.0016332,           0.0052975,           0.0052975,           0.0052975
                  78,            0.014267,           0.0042797,          0.00061228,             0.98923,             0.98785,              0.9905,             0.81318,            0.016579,           0.0036709,           0.0015692,           0.0052356,           0.0052356,           0.0052356
                  79,            0.014101,           0.0042753,          0.00054803,             0.98926,              0.9858,             0.98881,             0.80803,            0.016453,           0.0036405,           0.0015739,           0.0051737,           0.0051737,           0.0051737
